,country,cumulative_cases,cumulative_deaths,mortality_rate
58,Burkina Faso,2735,68,2.49
59,Sint Maarten,973,24,2.47
60,Romania,418645,10047,2.4
61,Bulgaria,121820,2880,2.36
62,Angola,14493,337,2.33
63,Jamaica,10284,238,2.31
64,France,2102510,48384,2.3
65,Togo,2829,64,2.26
66,Iraq,535321,11958,2.23
67,Bahamas,7413,163,2.2
68,Republic of Moldova,97941,2149,2.19
69,Myanmar,79246,1739,2.19
70,Suriname,5295,116,2.19
71,Belize,5110,112,2.19
72,Hungary,177952,3891,2.19
73,Paraguay,75857,1652,2.18
74,Puerto Rico,47459,1017,2.14
75,Albania,32761,699,2.13
76,United States of America,11972556,253931,2.12
77,Lesotho,2085,44,2.11
78,Mauritania,8075,169,2.09
79,Senegal,15882,330,2.08
80,Pakistan,374173,7662,2.05
81,Zambia,17424,357,2.05
82,Mauritius,491,10,2.04
83,Brunei Darussalam,148,3,2.03
84,South Sudan,3047,60,1.97
85,Philippines,418818,8123,1.94
86,Eswatini,6219,120,1.93
87,Northern Mariana Islands (Commonwealth of the),104,2,1.92
88,Panama,153577,2946,1.92
89,"Bonaire, Sint Eustatius and Saba",158,3,1.9
90,Netherlands,484060,8879,1.83
91,Trinidad and Tobago,6324,115,1.82
92,Cameroon,23842,435,1.82
93,Kenya,77372,1380,1.78
94,Guinea-Bissau,2421,43,1.78
95,Greece,91619,1630,1.78
96,Kyrgyzstan,69885,1237,1.77
97,Nigeria,66383,1167,1.76
98,Other,741,13,1.75
99,Guadeloupe,8225,144,1.75
100,Saint Martin,690,12,1.74
101,Sao Tome and Principe,979,17,1.74
102,Ukraine,635689,11075,1.74
103,Russian Federation,2114502,36540,1.73
104,Finland,21639,375,1.73
105,Cuba,7846,132,1.68
106,Dominican Republic,138410,2310,1.67
107,Equatorial Guinea,5130,85,1.66
108,Congo,5632,93,1.65
109,Guam,6428,106,1.65
110,Morocco,324941,5316,1.64
111,Republic of Korea,31004,509,1.64
112,Saudi Arabia,355258,5780,1.63
113,Poland,861331,13618,1.58
114,Ethiopia,105785,1647,1.56
115,Armenia,126709,1976,1.56
116,Thailand,3920,60,1.53
117,United States Virgin Islands,1504,23,1.53
118,Germany,929133,14112,1.52
119,Uruguay,4564,69,1.51
120,Japan,132358,1981,1.5
121,New Zealand,1674,25,1.49
122,Portugal,260758,3897,1.49
123,Benin,2916,43,1.47
124,Czechia,492263,7196,1.46
125,India,9139865,133738,1.46
126,Madagascar,17341,251,1.45
127,Bangladesh,447341,6388,1.43
128,Kazakhstan,166625,2365,1.42
129,Montenegro,31213,439,1.41
130,Libya,77823,1089,1.4
131,British Virgin Islands,72,1,1.39
132,Croatia,103718,1353,1.3
133,Central African Republic,4911,63,1.28
134,Costa Rica,129418,1608,1.24
135,Switzerland,289483,3567,1.23
136,Jordan,183429,2236,1.22
137,Azerbaijan,93094,1131,1.21
138,Andorra,6256,76,1.21
139,Malta,8560,104,1.21
140,Comoros,592,7,1.18
141,Latvia,13120,153,1.17
142,Papua New Guinea,604,7,1.16
143,Oman,122081,1380,1.13
144,Denmark,70485,784,1.11
145,Djibouti,5668,61,1.08
146,Namibia,13865,144,1.04
147,Slovenia,65308,663,1.02
148,Cabo Verde,10276,104,1.01
149,Serbia,121120,1199,0.99
150,Saint Lucia,204,2,0.98
151,Norway,31438,306,0.97
152,Uganda,17968,172,0.96
153,Aruba,4693,45,0.96
154,Mayotte,5036,48,0.95
155,Georgia,108690,1012,0.93
156,Estonia,9724,88,0.9
157,Austria,246124,2199,0.89
158,Belarus,123999,1096,0.88
159,Venezuela (Bolivarian Republic of),99435,869,0.87
160,Luxembourg,30333,262,0.86
161,"occupied Palestinian territory, including east Jerusalem",84340,714,0.85
162,Israel,327327,2744,0.84
163,Uzbekistan,71713,603,0.84
164,Rwanda,5665,47,0.83
165,Lithuania,47047,386,0.82
166,Mozambique,15037,124,0.82
167,Turks and Caicos Islands,746,6,0.8
168,Martinique,5091,39,0.77
169,Cayman Islands,261,2,0.77
170,Lebanon,116435,900,0.77
171,Tajikistan,11894,86,0.72
172,Liechtenstein,1112,8,0.72
173,Slovakia,96241,671,0.7
174,Gabon,9131,59,0.65
